"filename", "language", "JavaScript", "Handlebars", "JSON", "Log", "XML", "CSS", "TypeScript", "SCSS", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\clearanceUtils.js", "JavaScript", 207, 0, 0, 0, 0, 0, 0, 0, 0, 17, 33, 257
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\emailUtils\notificationEmail.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34, 270
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\employerUtils.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 22, 26, 196
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\kdocStaffUtils.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 0, 0, 18, 25, 220
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\logger.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 48
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\notificationUtils.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 90
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\requestUtils.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 115
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\validationUtils.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\css\login.css", "CSS", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 1014, 0, 0, 0, 66, 204, 1284
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\img\not-found.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
