"filename", "language", "JSON", "JavaScript", "Handlebars", "CSS", "Markdown", "Less", "TypeScript", "SCSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\hr.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\hu.json", "JSON", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\hy.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\id.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\it.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ja.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ka.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ko.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\lt.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\lv.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ms.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
